carrier,name,city,state,zip_code,training_type,tuition_cost,trainee_pay,orientation_pay,requirements,academy_details,after_graduation
Swift,Swift Academy - Phoenix,Phoenix,AZ,85043,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Academies still being updated; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role. Driver Performance Bonus program available."
Swift,Swift Academy - West Valley City (WVC),West Valley City,UT,84120,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift OTR or regional driving role."
Swift,Swift Academy - WVC Streaming,West Valley City,UT,84120,Virtual/Streaming,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","Streaming/virtual format. Orientation is online. For experienced drivers, trainees, and retirees only. Academies still being updated.","After graduation, placed into Swift driving role."
Swift,Swift Academy - Richmond,Richmond,VA,23231,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - Edwardsville,Edwardsville,IL,62025,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - Laredo,Laredo,TX,78045,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, typically placed into Swift Laredo-area or border-crossing routes."
Swift,Swift Academy - Greer,Greer,SC,29651,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - Corsicana,Corsicana,TX,75110,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - Memphis,Memphis,TN,38116,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - Jurupa Valley,Jurupa Valley,CA,91752,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - TransTech Newton,Newton,NC,28658,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","TransTech partner school. 30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - Macon,Macon,GA,31201,In-Person,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","30 min to 2 hrs online orientation; 1 day in-person; Start Days: Mon & Wed; Lodging: Single occupancy provided; Travel: Bus transportation or Greyhound reimbursement; Insurance after 30 days","After graduation, placed into Swift driving role."
Swift,Swift Academy - Columbus (ELDT Only),Columbus,OH,43228,ELDT Only,$1995,Unpaid during training,$300 paid if officially hired,"CDL Permit required before start; background check; drug test; must meet DOT physical requirements","ELDT (Entry Level Driver Training) only - not a full CDL school. Provides the federally required training component only. Start Days: Mon & Wed","After ELDT completion, driver must have obtained CDL elsewhere. Then placed into Swift job."
